#t,ms p
0.003 0.0427
0.005 0.0427
0.008 0.0427
0.01 0.0427
0.0129324 0.0427
0.0152784 0.0427
0.0176291 0.0427
0.0205694 0.0427
0.0229245 0.0427
0.0252824 0.0427
0.0276402 0.0427
0.0305804 0.0427
0.0329326 0.0427
0.0352671 0.0427
0.0375956 0.0427
0.040494 0.0427
0.0427981 0.0427
0.0451022 0.0427
0.0479388 0.0427
0.0502082 0.0427
0.0530041 0.0427
0.0552327 0.0427
0.0579873 0.0427
0.0601743 0.0427
0.0628915 0.0427
0.0650454 0.0427
0.0677309 0.0427
0.0703885 0.0427
0.0725147 0.0427
0.0751435 0.0427
0.0777723 0.0427
0.0803793 0.0427
0.0829862 0.0427
0.0850594 0.0427
0.0876508 0.0427
0.090234 0.0427
0.0928152 0.0427
0.0953792 0.0427
0.0979388 0.0427
0.100475 0.0427
0.103006 0.0427
0.105016 0.0427
0.107524 0.0427
0.11002 0.0427
0.112509 0.0427
0.115485 0.0427
0.117961 0.0427
0.120429 0.0427
0.122896 0.0427
0.125358 0.0427
0.127819 0.0427
0.130279 0.0427
0.132739 0.0427
0.135199 0.0427
0.13766 0.0427
0.140113 0.0427
0.142564 0.0427
0.145009 0.0427
0.147941 0.0427
0.150379 0.0427
0.152817 0.0427
0.155251 0.0427
0.157686 0.0427
0.160119 0.0427
0.162553 0.0427
0.165473 0.0427
0.167908 0.0427
0.170344 0.0427
0.17278 0.0427
0.175219 0.0427
0.177658 0.0427
0.180096 0.0427
0.182534 0.0427
0.185458 0.0427
0.187895 0.0427
0.190332 0.0427
0.192769 0.0427
0.195206 0.0427
0.197644 0.0427
0.200084 0.0427
0.202524 0.0427
0.205454 0.0427
0.207897 0.0427
0.210342 0.0427
0.212788 0.0427
0.215236 0.0427
0.217684 0.0427
0.220132 0.0427
0.222581 0.0427
0.225029 0.0427
0.227969 0.0427
0.23042 0.0427
0.232872 0.0427
0.235324 0.0427
0.237778 0.0427
0.240232 0.0427
0.242687 0.0427
0.245143 0.0427
0.247601 0.0427
0.250059 0.0427
0.252517 0.0427
0.255468 0.0427
0.257927 0.0427
0.260387 0.0427
0.262847 0.0427
0.265308 0.0427
0.267769 0.0427
0.27023 0.0427
0.272692 0.0427
0.275154 0.0427
0.277616 0.0427
0.280079 0.0427
0.282542 0.0427
0.285005 0.0427
0.287961 0.0427
0.290425 0.0427
0.292888 0.0427
0.295351 0.0427
0.297815 0.0427
0.300278 0.0427
0.302742 0.0427
0.305205 0.0427
0.307668 0.0427
0.310131 0.0427
0.312594 0.0427
0.315058 0.0427
0.317521 0.0427
0.320477 0.0427
0.322941 0.0427
0.325404 0.0427
0.327867 0.0427
0.33033 0.0427
0.332793 0.0427
0.335256 0.0427
0.337719 0.0427
0.340182 0.0427
0.342644 0.0427
0.345107 0.0427
0.347569 0.0427
0.350032 0.0427
0.352987 0.0427
0.355449 0.0427
0.357912 0.0427
0.360375 0.0427
0.362838 0.0427
0.365301 0.0427
0.367764 0.0427
0.370227 0.0427
0.372691 0.0427
0.375154 0.0427
0.377618 0.0427
0.380082 0.0427
0.382546 0.0427
0.38501 0.0427
0.387967 0.0427
0.390432 0.0427
0.392896 0.0427
0.395361 0.0427
0.397825 0.0427
0.40029 0.0427
0.402754 0.0427
0.405219 0.0427
0.407684 0.0427
0.410149 0.0427
0.412614 0.0427
0.41508 0.0427
0.417545 0.0427
0.42001 0.0427
0.422969 0.0427
0.425435 0.0427
0.4279 0.0427
0.430367 0.0427
0.432833 0.0427
0.4353 0.0427
0.437766 0.0427
0.440233 0.0427
0.4427 0.0427
0.445166 0.0427
0.447633 0.0427
0.4501 0.0427
0.452567 0.0427
0.455035 0.0427
0.457502 0.0427
0.460463 0.0427
0.462931 0.0427
0.465399 0.0427
0.467867 0.0427
0.470334 0.0427
0.472802 0.0427
0.475269 0.0427
0.477736 0.0427
0.480203 0.0427
0.48267 0.0427
0.485137 0.0427
0.487604 0.0427
0.490071 0.0427
0.492538 0.0427
0.495005 0.0427
0.497965 0.0427
0.500431 0.0427
0.502898 0.0427
0.505364 0.0427
0.50783 0.0427
0.510296 0.0427
0.512761 0.0427
0.515227 0.0427
0.517693 0.0427
0.520158 0.0427
0.522624 0.0427
0.525089 0.0427
0.527554 0.0427
0.530019 0.0427
0.532976 0.0427
0.53544 0.0427
0.537904 0.0427
0.540368 0.0427
0.542831 0.0427
0.545294 0.0427
0.547757 0.0427
0.55022 0.0427
0.552682 0.0427
0.555143 0.0427
0.557605 0.0427
0.560066 0.0427
0.562527 0.0427
0.56548 0.0427
0.56794 0.0427
0.5704 0.0427
0.57286 0.0427
0.57532 0.0427
0.577779 0.0427
0.580238 0.0427
0.582696 0.0427
0.585154 0.0427
0.587611 0.0427
0.590068 0.0427
0.592525 0.0427
0.595472 0.0427
0.597928 0.0427
0.600383 0.0427
0.602838 0.0427
0.605293 0.0427
0.607747 0.0427
0.6102 0.0427
0.612653 0.0427
0.615106 0.0427
0.617558 0.0427
0.62001 0.0427
0.622952 0.0427
0.625403 0.0427
0.627854 0.0427
0.630304 0.0427
0.632754 0.0427
0.635204 0.0427
0.637652 0.0427
0.640101 0.0427
0.642549 0.0427
0.645486 0.0427
0.647933 0.0427
0.650379 0.0427
0.652825 0.0427
0.65527 0.0427
0.657715 0.0427
0.660159 0.0427
0.662603 0.0427
0.665047 0.0427
0.667978 0.0427
0.67042 0.0427
0.672862 0.0427
0.675304 0.0427
0.677745 0.0427
0.680185 0.0427
0.682625 0.0427
0.685064 0.0427
0.687503 0.0427
0.690429 0.0427
0.692867 0.0427
0.695304 0.0427
0.697741 0.0427
0.700177 0.0427
0.702612 0.0427
0.705047 0.0427
0.707968 0.0427
0.710402 0.0427
0.712835 0.0427
0.715267 0.0427
0.7177 0.0427
0.720131 0.0427
0.722562 0.0427
0.725477 0.0427
0.727907 0.0427
0.730336 0.0427
0.732764 0.0427
0.735192 0.0427
0.737619 0.0427
0.740045 0.0427
0.742957 0.0427
0.745382 0.0427
0.747807 0.0427
0.75023 0.0427
0.752654 0.0427
0.755076 0.0427
0.757982 0.0427
0.760403 0.0427
0.762822 0.0427
0.765241 0.0427
0.767658 0.0427
0.770075 0.0427
0.772973 0.0427
0.775388 0.0427
0.777801 0.0427
0.780214 0.0427
0.782625 0.0427
0.785035 0.0427
0.787926 0.0427
0.790334 0.0427
0.792739 0.0427
0.795145 0.0427
0.797548 0.0427
0.800431 0.0427
0.802831 0.0427
0.805231 0.0427
0.807629 0.0426999
0.810027 0.0426993
0.812902 0.0426936
0.815296 0.0426692
0.817689 0.0423661
0.820081 0.041677
0.82295 0.00758244
0.825339 0.00762557
0.827728 0.00778154
0.830115 0.00777745
0.832501 0.00777542
0.835362 0.00777567
0.837745 0.0077758
0.840127 0.00777596
0.842508 0.00777666
0.845363 0.00778723
0.847741 0.00790618
0.850117 0.00921584
0.852968 0.0280904
0.855342 0.128364
0.857715 0.597958
0.860086 1.73449
0.86293 3.55801
0.865299 4.82087
0.867666 5.60045
0.870033 6.01103
0.872871 6.23778
0.875235 6.32161
0.877597 6.36374
0.880431 6.3905
0.882791 6.40272
0.88515 6.40732
0.887508 6.40533
0.890336 6.39836
0.892691 6.39285
0.895046 6.38987
0.897869 6.38976
0.900221 6.39148
0.902572 6.39367
0.905391 6.39573
0.907739 6.39654
0.910086 6.39657
0.912901 6.39602
0.915245 6.39544
0.917589 6.39498
0.920399 6.39465
0.922741 6.39449
0.92508 6.39437
0.927887 6.39417
0.930224 6.39397
0.932562 6.39378
0.935364 6.39363
0.937699 6.39363
0.940032 6.39378
0.94283 6.39415
0.945161 6.39461
0.947956 6.39531
0.950285 6.39602
0.952612 6.39683
0.955404 6.39792
0.957728 6.39894
0.960052 6.40003
0.962839 6.40143
0.965161 6.40264
0.967945 6.40413
0.970264 6.40539
0.972582 6.40665
0.975363 6.40818
0.977678 6.40948
0.980456 6.41107
0.98277 6.41245
0.985082 6.41388
0.987856 6.41569
0.990166 6.41726
0.992938 6.41924
